"max_depth","eta","min_child_weight","subsample","colsample_bytree","gamma","reg_alpha","reg_lambda","config_id","val_rmse","val_rmsle","best_nrounds","rank"
3,0.01,20,1,1,1,0.1,5,16,22929.4438501479,2.85035213645153,1608,1
3,0.05,20,0.6,0.9,0.5,0.01,5,27,23091.0890642407,2.86948900201202,330,2
3,0.01,5,0.75,1,2,0,1,33,23154.3324359673,2.8711701745813,1279,3
3,0.05,1,1,0.75,2,0.1,5,11,23032.680713171,2.88589887032987,404,4
3,0.01,3,0.6,0.9,0.5,0,5,30,23159.4889947018,2.88878173825097,1525,5
3,0.02,3,0.9,0.9,0.5,0.01,50,20,22845.8261139592,2.89336632724848,1077,6
3,0.03,20,0.6,0.6,1,0.1,25,40,22897.9088079302,2.89663252053553,479,7
3,0.05,1,0.6,0.75,0.5,0.1,50,12,22797.7094433028,2.91162650539484,490,8
4,0.05,1,1,0.9,2,0,25,39,23089.9272930638,2.91818037099871,583,9
4,0.05,10,0.75,0.6,0.5,0.1,5,15,23045.7072761712,2.92205424575148,252,10
10,0.03,1,0.75,0.9,0.5,0,10,37,23864.3843397225,2.93037582104043,949,11
4,0.05,40,1,0.9,0.5,0.1,1,10,22936.9235128989,2.93193991674848,324,12
4,0.03,5,0.9,0.75,0.5,0.1,10,32,23130.3158707753,2.93219513710013,618,13
10,0.05,1,0.6,0.6,0.5,0.1,5,38,23551.318246069,2.93383512678588,507,14
4,0.03,5,0.9,0.75,2,0.01,5,21,23088.8344029787,2.93431319815277,491,15
4,0.02,20,0.6,0.6,1,0.01,5,17,22914.5725154795,2.93659985034832,620,16
4,0.01,10,1,0.75,2,0.01,5,2,22980.8674337678,2.94412069874943,1317,17
4,0.03,1,0.9,0.75,0,0,10,5,23039.9186817054,2.95320354475953,586,18
5,0.02,5,0.9,0.75,1,0,1,9,23317.7552312484,2.95504893494116,788,19
10,0.03,1,0.75,0.75,0.5,0.1,25,22,23005.0687380323,2.9647698953947,495,20
6,0.02,1,1,0.6,0.5,0.1,5,1,23956.1384496177,2.96803195671802,1197,21
10,0.01,1,0.6,0.9,0.5,0.1,10,13,23193.6296674982,2.96989670245187,1381,22
5,0.01,1,0.6,0.6,1,0,1,8,23274.1758976162,2.97650250939952,1360,23
5,0.05,5,0.6,1,2,0,5,24,23227.3702234535,2.9821943641209,223,24
7,0.05,3,0.75,1,2,0.01,1,4,23717.492774517,2.98236406608262,337,25
5,0.05,20,0.75,0.6,1,0,10,6,22895.1143700423,2.984662022607,224,26
7,0.02,1,0.9,1,0,0,10,28,23761.0508319799,2.9853102002497,772,27
7,0.03,3,1,1,0.5,0.1,10,23,23558.6821609248,2.9945692155355,418,28
10,0.01,1,0.75,1,2,0.1,50,31,22819.695976764,2.99506315193197,1230,29
8,0.03,1,0.6,0.75,0,0.01,25,35,22785.600307192,3.00349226153852,399,30
7,0.02,3,0.6,0.6,0.5,0.1,25,34,22812.6520555912,3.00807419499929,679,31
7,0.02,5,0.6,0.9,0.5,0,10,26,23139.5170154753,3.01098414106357,776,32
8,0.01,1,0.6,0.9,0.5,0.01,25,18,22791.6902812322,3.01458322978978,1075,33
8,0.01,10,0.9,1,2,0.1,50,3,22917.0319675611,3.01982326257431,1168,34
10,0.01,40,0.9,0.6,1,0.1,10,19,22741.7890615068,3.02157258066808,839,35
8,0.02,20,0.9,0.75,2,0.01,25,29,22854.7944069813,3.02316962171224,574,36
8,0.01,10,1,1,2,0.01,25,14,23103.6650419767,3.02362561613014,1217,37
10,0.01,10,1,1,0,0.01,5,36,23275.8454013709,3.02828467488164,1014,38
8,0.03,20,1,0.6,0.5,0,10,25,22923.1195412347,3.02870014124996,272,39
10,0.05,40,1,0.9,1,0.01,5,7,22866.9448498138,3.04619945986484,201,40
